date,review,rating,user,source,month,year,neg_review,compound_score,pos_score,review_lem
2020-09-11 13:47:35,Not a good experience for first timer. Login and sign up was not a problem. What i did not like at all was after entering all details it prompted me no delivery dates are available which should have been the first step instead of last,1,Monish Punekar,googleplay,9,2020,1,-0.5358,0.045,good experience first timer login sign problem like entering detail prompted delivery date available first step instead last
2020-07-31 21:04:24,"One of the lousiest app! Tried using it several times since May 20 but never once did I complete the transaction. Reason: 1. In May 20 it always say ""no slot"". By the time there was slot, many items in my cart had become ""no stock"". No point for me to pay the delivery fee for a ""half-filled cart"". 2. In Jul 20 I tried to use the app again to utilise a promo code. But it kept saying ""promo code error"". When the code finally got accepted, some items became ""no stock"" again. It's so irritating!",1,yt ng,googleplay,7,2020,1,-0.9258,0.024,one lousiest tried using several time since may never complete transaction reason may always say slot time slot many item cart become stock point pay delivery fee half filled cart jul tried use utilise promo code kept saying promo code error code finally got accepted item became stock irritating
2020-09-06 08:10:27,Lousy app. Cannot find most items using brand name. Now they change the use of label scanning in app which totally disable the label function when store not detected. Slow and unstable. Any online grocery app now is far better.,1,Nathanael Lim,googleplay,9,2020,1,-0.4767,0.063,lousy cannot find item using brand name change use label scanning totally disable label function store detected slow unstable online grocery far better
2020-06-25 00:07:48,NEW : GETS BETTER AND BETTER - MY LISTS DON'T WORK NOW - how to shop? OLD: this app has improved significantly over the last 2+year. It still is missing the AI to anticipate what you want to order and to. give quick access to your shopping list and. allow you to sort and filter your favourites / shopping list ... This makes the app. very inefficient and slow to shop in.. And product wise - consistently rotten fruit and vegetables,1,A Google user,googleplay,6,2020,1,0.8797,0.175,new get better better list work shop old improved significantly last year still missing ai anticipate want order give quick access shopping list allow sort filter favourite shopping list make inefficient slow shop product wise consistently rotten fruit vegetable
2020-07-19 12:43:30,The app would have gotten a 4 stars from me except the fact that it is not thought thru well enough as all purchases thru this app are not eligible for the bonus points that consumers need for redemption. It is quite a disappointment that such a basic feature is not included into the app.,1,Desmond Tan,googleplay,7,2020,1,-0.2245,0.057,would gotten star except fact thought thru well enough purchase thru eligible bonus point consumer need redemption quite disappointment basic feature included
2020-08-06 15:13:41,"All the complaints by other users also happened to me. I even email to them but nothing rectified. I think I have to uninstall this app totally and stop ordering from them online. Think I can't even give them a star, but I can't post when I didn't click 1 star .Waste a lot of my time locking in and out, items out of stock, no time slot available and can't even checkout.",1,Rena Teo Hua Gan,googleplay,8,2020,1,-0.8902,0.0,complaint user also happened even email nothing rectified think uninstall totally stop ordering online think even give star post click star waste lot time locking item stock time slot available even checkout
2020-08-30 21:07:44,"Encountered payment not successful error, credit card not charged. Pls check it out",1,wilson g,googleplay,8,2020,1,-0.3875,0.21,encountered payment successful error credit card charged pls check
2020-08-25 16:05:29,Always get changes to my order. Items out of stock after order is placed. Free delivery but charge service and packing. So it is not really free. One item on sale in the app but charged full amount.,1,Irrahce,googleplay,8,2020,1,-0.6031,0.05,always get change order item stock order placed free delivery charge service packing really free one item sale charged full amount
2020-08-14 10:00:07,Very lousy experience. Not able to change on self collect even the help guide say otherwise. Not user friendly. Hard to navigate,1,Adeline Gui,googleplay,8,2020,1,-0.5307,0.141,lousy experience able change self collect even help guide say otherwise user friendly hard navigate
2020-07-26 15:22:45,"Looks like it's not working. Anytime l login, it shows slots are full. How come no slot available anytime time of the day or night? Extremely disappointed",1,Seema Singh,googleplay,7,2020,1,-0.6781,0.074,look like working anytime l login show slot full come slot available anytime time day night extremely disappointed
2020-07-10 00:33:55,Ridiculous fees with 1001 restrictions! Use at your own risk!A lot of items out of stock but the nearby physical store has the stock!,1,yf yf1,googleplay,7,2020,1,-0.3871,0.0,ridiculous fee restriction use risk lot item stock nearby physical store stock
2020-08-13 00:40:16,Rubbish app. Added 20 over items. All disappear from cart when about to pay. Big enterprise earning so much profit a year cannot afford to test and remove bugs from app.,1,Leslie Sim,googleplay,8,2020,1,0.2212,0.092,rubbish added item disappear cart pay big enterprise earning much profit year cannot afford test remove bug
2020-08-12 22:08:19,Useless online grocery app. Poor product range and availablity. Most things are out of stock.,1,Calvin Lee,googleplay,8,2020,1,-0.7096,0.0,useless online grocery poor product range availablity thing stock
2020-07-29 16:48:14,Some items keep disappearing from the cart when i tried to pay!! What's happening???,1,Adeline Low,googleplay,7,2020,1,-0.3662,0.0,item keep disappearing cart tried pay happening
2020-09-06 03:05:53,Purchases made through your FairPrice app will not get to earn Link! Points. Very unfair and highly disappointed at your policies. Will delete this app henceforth.,1,Gilbert Goh,googleplay,9,2020,1,-0.7951,0.0,purchase made get earn link point unfair highly disappointed policy delete henceforth
2020-06-23 08:24:17,Why no linkpoint issuance or assoc. Still ntuc member and doing shopping on ntuc platform. whats the point of having an online platform yet you discourage people to do online n go offline shoppi g to gain the points?,1,Hasbullah Ali,googleplay,6,2020,1,-0.2732,0.076,linkpoint issuance assoc still member shopping platform whats point online platform yet discourage people online n go offline shoppi g gain point
2020-08-21 07:40:52,Unstable. Cannot view order on the day of delivery so cannot check delivery stuff.,1,Jasmin Lin,googleplay,8,2020,1,-0.3612,0.0,unstable cannot view order day delivery cannot check delivery stuff
2020-04-12 00:20:56,The app is very very slow and takes a very long time to load. Alot of the items are out of stock too. The delivery time is also unavailable. I have been trying to load my cart for more than half an hour now and it's still not loading until now. ( not my network as all the other apps works perfectly fine),1,Fung qirun,googleplay,4,2020,1,0.7184,0.09,slow take long time load alot item stock delivery time also unavailable trying load cart half hour still loading network work perfectly fine
2020-04-15 22:42:22,"At first, delivered items on the last order still appeared in the cart. After removing them manually item by item, they still appeared after opened app from another phone. Then all reappeared on my phone after I clicked on cart. fter I spent 30 mins putting itens into cart, all items disappeared! It seems items which should be removed aren't removed and items which are newly added are removed. Wasted my time and effort!!!",1,S.M Tan,googleplay,4,2020,1,-0.7405,0.0,first delivered item last order still appeared cart removing manually item item still appeared opened another phone reappeared phone clicked cart fter spent min putting itens cart item disappeared seems item removed removed item newly added removed wasted time effort
2020-05-30 09:56:00,"The app is getting worse, it will show items out of stock immediately after i selected the item. Now I can't even checkout, it will tell me I have an invalid cart. I was patient enough to clear everything in my cart and add back the items but it still failed.",1,Khong Hai Wang,googleplay,5,2020,1,-0.6908,0.032,getting worse show item stock immediately selected item even checkout tell invalid cart patient enough clear everything cart add back item still failed
2020-05-30 10:06:23,"Techical bugs need to be fixed, e.g. 'invalid cart'. Should not auto-remove our item if it's out of stock. Why not just disable the check-out function for the item while maintaining it at the cart? I have been using this app for more than 3 years. Before the CB, things work fine. During the CB, i can see that other platforms are catching up and improving their app, now working much better than this app. FairPrice Online instead is lagging behind and losing the #1 choice reputation.",1,Rou Shen Liew,googleplay,5,2020,1,0.4215,0.08,techical bug need fixed e g invalid cart auto remove item stock disable check function item maintaining cart using year cb thing work fine cb see platform catching improving working much better online instead lagging behind losing choice reputation
2020-04-18 09:23:27,"This app is good, but I want buy something but in this app show the item is out of stock. I go nearest Fair Prices see the items I need got stocks, why this happens? Why this app didn't update the listing? Always dont have times slots",1,Sie Li Seong,googleplay,4,2020,1,0.6917,0.132,good want buy something show item stock go nearest fair price see item need got stock happens update listing always dont time slot
